Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.230769231,0.43,1.74026018,0.801428571,4,0.6086,1.111063124,1.863686869,2.992285505,39,15.61142857,19.26457365,14
0.476190476,0.21,0.335210755,0.250625,5,0.879,1.929654945,2.38350939,3.310170024,31.5,17.865,18.92792153,16
0.111111111,0,,,6,,,,,40.5,,,0
0.516129032,0.33,0.9212909,0.575384615,5,0.597586207,0.789736191,3.206378793,4.012517958,23.25,17.21538462,17.34931729,13
0.555555556,0.22,0.74075337,0.476,8,0.670882353,0.82221566,2.795807978,5.530355109,27,21.824,32.47579721,10
0.259259259,0.16,0.241363551,0.218181818,5,0.5952,1.423780531,3.868785047,6.485599328,20.25,20.62181818,29.38998122,11
0.454545455,0.29,0.484321456,0.324545455,8,0.3335,0.525479981,4.801470588,5.719867525,16.5,19.69818182,20.98661184,11
0.147727273,0,,,9,,,,,33,,,0
0.419354839,0,,,10,,,,,23.25,,,0
0.3,0,,,5,,,,,7.5,,,0
0.434210526,0.57,0.998257823,0.564285714,7,0.6175,0.957133742,2.650973007,3.999895374,28.5,14.65714286,19.63493097,14
0.3625,0.1,3.120492103,1.33,7,1.193461538,2.847844401,1.185641026,1.702407031,60,3.242539683,4.717636768,63
0.761904762,0.69,1.572659025,0.983076923,6,0.892631579,1.500047563,4.691358025,7.119127474,15.75,9.686153846,13.44021673,13
0.35483871,0.23,1.222356908,0.557777778,5,0.527241379,1.183746765,2.839879154,3.21462482,23.25,9.776296296,10.91672117,27
0.11627907,0.49,0.474536254,0.329285714,10,3.323170732,15.78302339,2.193415898,2.976637017,32.25,9.774285714,13.45686867,28
0.044117647,0,,,6,,,,,51,,,0
0,0,,,6,,,,,14.25,,,0
0.461538462,0.15,0.504035232,0.288333333,5,10.9108,29.04575819,1.914455446,3.350571204,39,21.31333333,19.94092974,12
0.342857143,0.22,0.705392495,0.426428571,8,0.426363636,0.580806649,2.99041769,6.409098715,26.25,18.46857143,34.93815698,14
0.021276596,0.19,0.254577216,0.177058824,8,0.211555556,0.245291622,2.165595037,2.751496841,35.25,15.54352941,14.29866468,17
0.12195122,0.67,0.955295632,0.596923077,5,0.589487179,1.055384561,2.491072627,3.442805384,30.75,19.71076923,17.64728613,13
0.083333333,0.16,0.220928361,0.173571429,8,1.390909091,5.333598722,4.063349007,4.580334133,18,18.4,18.26497615,14
0.64516129,0.37,1.17613237,0.866521739,4,1.505862069,4.289565011,3.005557139,2.443241324,23.25,8.027826087,6.001435401,23
0.692307692,1.07,2.080931949,1.414444444,6,1.176363636,1.935180988,4.294372294,5.330280512,9.75,21.72444444,23.28745967,9
0.314516129,0.21,0.806823676,0.501111111,2,0.717213115,0.962495249,1.488459879,1.628009083,46.5,5.797777778,5.627247544,36
0.105263158,0.17,0.380282292,0.331714286,5,0.322777778,0.378626172,1.582790799,1.327675482,28.5,4.131142857,3.414600805,35
0.315789474,0.58,0.4927474,0.37,4,1.185892857,3.650040486,1.686710398,1.771179672,42.75,5.798857143,5.846004051,35
0.472222222,0.56,1.233169358,0.837333333,5,0.801875,1.199767859,2.831018519,2.644177071,13.5,6.373333333,5.81432058,15
0.571428571,0,,,8,,,,,31.5,,,0
0.055555556,0.15,0.254950976,0.27,8,0.18375,0.227843148,1.476641414,1.354288782,6.75,2.95,3.496526848,5
0.294117647,0.47,0.518351677,0.625,5,0.585333333,0.522587883,4.264174455,4.634318005,12.75,9.691428571,10.03716697,14
0.148148148,0.19,0.744217262,0.5952,3,0.5952,0.744217262,3.2,2.877284131,20.25,7.488,6.732844867,25
0.25,0.14,0.921632638,0.726086957,9,0.660384615,0.885995398,2.181225554,1.883500193,21,5.509565217,4.606354779,23
0.203703704,0.09,0.969468583,0.4288,3,0.4288,0.969468583,2.65025641,2.330814206,20.25,6.2016,5.454105243,25
0.126865672,0.13,2.06414834,0.621969697,3,0.621969697,2.06414834,1.199631041,1.03059064,50.25,6.010151515,5.163259106,66
0.454545455,0.16,0.495733311,0.490909091,5,0.847419355,1.793211212,3.115132442,3.171173166,24.75,7.989090909,7.837523242,22
0.227272727,0.41,0.395772987,0.378421053,5,0.366,0.389201612,3.11875,2.280865061,16.5,7.134736842,5.204463222,19
0.372340426,0.21,5.303295954,2.414444444,4,2.36326087,5.255516913,1.817835608,2.728530532,35.25,5.052444444,7.544697462,45
0.193548387,0.33,0.544589841,0.322666667,6,0.402413793,0.698476174,3.267740097,3.122966398,23.25,11.25866667,9.081798018,15
0.233333333,0.2,0.254354799,0.168181818,6,0.156923077,0.234250031,3.349450549,2.679897406,11.25,7.883636364,5.70399031,11
0.086956522,0.18,0.371180695,0.316818182,3,0.316818182,0.371180695,3.1154465,2.555517797,17.25,7.040909091,5.775470221,22
0.111111111,0.12,0.115822311,0.07575,5,0.919672131,3.804372032,1.557966356,1.344278295,47.25,5.508,4.73849657,40
0.127906977,0,,,3,,,,,32.25,,,0
0.230769231,0,,,8,,,,,39,,,0
0.388888889,0.18,0.730665602,0.423888889,2,1.062,1.629181799,3.891282051,8.177290507,20.25,4.773333333,5.462513966,18
0.05,0.14,0.170710765,0.14037037,8,0.165,0.224327825,2.474613003,2.880950668,30,9.201481481,11.26769368,27
